trainNo,installTime,installThickness,installKm,uninstallTime,uninstallThickness,uninstallKm,wearThickness,day,km,rate
03B136,2014/8/9,36.5,353981,2014/11/18,23.7,414982,12.8,101,61001,2.1
03B091,2014/6/8,37.3,554779,2014/11/19,23.3,627230,14,164,72451,1.93
03B114,2014/7/31,37,406717,2014/11/20,23.8,468830,13.2,112,62113,2.13
03B103,2014/7/6,37.3,498272,2014/11/21,23.7,571843,13.6,138,73571,1.85
03B141,2014/8/6,36.7,397034,2014/11/23,24,469611,12.7,109,72577,1.75
03B081,2014/7/29,36.8,813765,2014/11/26,24.3,877132,12.5,120,63367,1.97
03B109,2014/7/12,36.8,393539,2014/11/26,23.8,450166,13,137,56627,2.3
03B134,2014/7/9,36.8,294452,2014/11/29,23.8,364957,13,143,70505,1.84
03B110,2014/7/11,36.7,393540,2014/12/9,23.3,458045,13.4,151,64505,2.08
03B112,2014/8/20,36.8,370673,2014/12/21,24,438773,12.8,123,68100,1.88
03B089,2014/9/15,36.9,671133,2014/12/24,23.8,719962,13.1,100,48829,2.68
03B090,2014/8/31,37,663547,2014/12/24,23.9,719650,13.1,115,56103,2.33
03B130,2014/10/14,36.9,369382,2014/12/31,23.8,411015,13.1,78,41633,3.15
03B118,2014/10/3,36.9,381981,2015/1/6,22.2,432955,14.7,95,50974,2.88
03B142,2014/9/13,36.9,435516,2015/1/6,24.2,496419,12.7,115,60903,2.09
03B131,2014/8/31,37,365429,2015/1/13,23.7,441616,13.3,135,76187,1.75
03B119,2014/8/19,36.7,324439,2015/1/18,23.3,408674,13.4,152,84235,1.59
03B133,2014/10/23,37,344196,2015/1/20,22.7,397281,14.3,89,53085,2.69
03B100,2014/9/19,37.3,501349,2015/1/22,23.8,561669,13.5,125,60320,2.24
03B129,2014/10/15,37,369764,2015/1/22,23.4,424569,13.6,99,54805,2.48
03B116,2014/9/26,36.5,402271,2015/1/24,24.2,467749,12.3,120,65478,1.88
03B092,2014/8/12,37.3,589228,2015/1/24,23.7,659558,13.6,165,70330,1.93
03B127,2014/11/8,36.8,279411,2015/1/26,23.9,326727,12.9,79,47316,2.73
03B093,2014/10/31,36.8,609378,2015/1/25,23.9,658727,12.9,86,49349,2.61
03B111,2014/10/5,36.7,397095,2015/1/27,23,457848,13.7,114,60753,2.26
03B096,2014/9/8,36.7,577519,2015/1/28,23.2,641914,13.5,142,64395,2.1
03B095,2014/9/3,36.2,574328,2015/1/28,23.3,641914,12.9,147,67586,1.91
03B085,2014/9/4,36.8,769757,2015/1/28,23.9,841203,12.9,146,71446,1.81
03B105,2014/9/25,37,490074,2015/1/29,24.1,548487,12.9,126,58413,2.21
03B106,2014/9/12,37.4,484326,2015/1/30,24.3,548487,13.1,140,64161,2.04
03B088,2014/4/2,36.7,473491,2015/1/30,29.1,512358,7.6,303,38867,1.96
03B099,2014/9/28,37.3,504565,2015/1/30,24,566295,13.3,124,61730,2.15
03B123,2014/9/29,37.2,294008,2015/2/3,23.9,358653,13.3,127,64645,2.06
03B138,2014/10/4,37.2,355190,2015/2/3,23.8,415945,13.4,122,60755,2.21
03B128,2014/10/23,36.8,269328,2015/2/5,23.9,331523,12.9,105,62195,2.07
03B086,2014/10/22,36.6,795737,2015/2/6,23.9,846172,12.7,107,50435,2.52
03B082,2014/10/11,36.5,858314,2015/2/13,23.8,912867,12.7,125,54553,2.33
03B113,2014/9/7,36.7,429369,2015/2/14,23.9,507245,12.8,160,77876,1.64
03B094,2014/11/7,37.1,615458,2015/2/15,23.5,671230,13.6,100,55772,2.44
03B084,2014/10/9,37,808610,2015/2/16,23.9,863896,13.1,130,55286,2.37
03B124,2014/9/29,37,293838,2015/2/23,23.6,370213,13.4,147,76375,1.75
03B117,2014/10/4,36.9,382632,2015/2/25,22.8,459346,14.1,144,76714,1.84
03B098,2014/10/26,36.7,596658,2015/2/27,25.5,649320,11.2,124,52662,2.13
03B097,2014/10/18,37.2,591801,2015/2/27,24.5,649318,12.7,132,57517,2.21
03B083,2014/10/1,36.9,804466,2015/3/2,23.9,866241,13,152,61775,2.1
03B135,2014/11/9,36.5,410322,2015/3/2,24.8,469881,11.7,113,59559,1.96
03B125,2014/10/26,37,332966,2015/3/5,23.7,410425,13.3,130,77459,1.72
03B087,2014/11/2,36.6,473484,2015/3/13,28,525923,8.6,131,52439,1.64
03B120,2014/10/29,36.8,364965,2015/3/19,24.1,434843,12.7,141,69878,1.82
03B107,2014/10/15,36.8,450020,2015/3/19,23,523897,13.8,155,73877,1.87
03B115,2014/10/6,36.5,407692,2015/3/19,23.9,486434,12.6,164,78742,1.6
03B126,2014/11/7,36.9,338552,2015/3/21,23.8,421446,13.1,134,82894,1.58
03B101,2014/11/15,36.8,565225,2015/3/25,23.9,627362,12.9,130,62137,2.08
03B114,2014/11/20,36.8,468830,2015/3/26,23.5,531163,13.3,126,62333,2.13
03B134,2014/11/29,36.9,364957,2015/3/27,24.9,433336,12,118,68379,1.75
03B133,2014/11/20,36.8,397281,2015/3/27,27.6,433033,9.2,127,35752,2.57
03B136,2014/11/18,36.7,414982,2015/3/28,23.6,481655,13.1,130,66673,1.96
03B140,2014/11/3,37,410856,2015/3/29,23.6,474610,13.4,146,63754,2.1
03B108,2014/11/5,36.5,461485,2015/3/31,23.9,530698,12.6,146,69213,1.82
03B091,2014/11/19,37.2,627230,2015/4/1,23.5,695393,13.7,133,68163,2.01
03B132,2014/12/5,36.6,348864,2015/4/3,23.1,480620,13.5,119,131756,1.02
03B089,2014/12/24,37,719962,2015/4/4,23.6,776290,13.4,101,56328,2.38
03B130,2014/12/31,37.1,411015,2015/4/6,23.2,470083,13.9,96,59068,2.35
03B104,2014/10/31,36.8,560495,2015/4/7,23.9,635341,12.9,158,74846,1.72
03B139,2014/11/3,37.1,413454,2015/4/8,23.9,480263,13.2,156,66809,1.98
03B109,2014/11/26,37.3,450166,2015/4/10,23.8,517424,13.5,135,67258,2.01
03B137,2014/11/16,36.6,379100,2015/4/11,23.9,451286,12.7,146,72186,1.76
03B102,2014/11/3,37.2,572031,2015/4/17,23.9,639906,13.3,165,67875,1.96
03B110,2014/12/8,36.9,458045,2015/4/22,23.6,522064,13.3,135,64019,2.08
03B090,2014/12/24,37,719962,2015/4/19,23.3,785426,13.7,116,65464,2.09
03B141,2014/11/23,36.9,469611,2015/4/23,23,544373,13.9,151,74762,1.86
03B081,2014/11/6,36.8,866168,2015/5/1,22.7,951564,14.1,176,85396,1.65
03B094,2015/1/25,37.1,658998,2015/4/27,22.4,951564,14.7,92,292566,0.5
03B121,2014/10/8,36.4,4363,2015/5/2,22.1,47641,14.3,206,43278,3.3
03B122,2014/10/8,36.5,4363,2015/4/30,21.8,47641,14.7,204,43278,3.4
03B081,2015/2/13,37,914049,2015/5/2,22.8,951564,14.2,78,37515,3.79
03B119,2015/1/18,37.1,408674,2015/5/4,24.3,460808,12.8,106,52134,2.46
03B103,2014/11/21,36.8,571843,2015/5/5,23.9,649487,12.9,165,77644,1.66
03B142,2015/1/6,37,497264,2015/5/12,23.8,555845,13.2,126,58581,2.25
03B129,2015/1/22,37.1,425348,2015/5/13,24,488666,13.1,111,63318,2.07
03B100,2015/1/10,37,566297,2015/5/14,23.9,621002,13.1,124,54705,2.39
03B138,2015/2/3,37,415945,2015/5/15,25,468528,12,101,52583,2.28
03B85,2015/2/6,36.9,843702,2015/5/19,23.7,895474,13.2,102,51772,2.55
03B118,2015/1/6,37,433395,2015/5/19,24.6,469471,13.2,102,36076,3.66
03B112,2014/12/20,37.2,438773,2015/5/20,23.6,502357,13.6,151,63584,2.14
03B131,2015/1/12,36.8,441616,2015/5/23,23.8,510056,13,131,68440,1.9
03B091,2015/3/20,37,690689,2015/5/24,28.9,712501,8.1,65,21812,3.71
03B96,2015/1/27,37,641914,2015/5/23,24.6,696284,12.4,116,54370,2.28
03B105,2015/1/29,37,548488,2015/5/28,23.2,607493,13.8,119,59005,2.34
03B106,2015/1/29,37,548488,2015/5/28,22.1,607493,14.9,119,59005,2.53
03B113,2015/2/14,37,507245,2015/5/29,23.8,569610,13.2,104,62365,2.12
03B84,2015/3/2,37,866245,2015/6/2,23.9,913867,13.1,92,47622,2.75
03B83,2015/2/17,37,863896,2015/6/2,25.2,913867,11.8,105,49971,2.36
03B123,2015/2/3,37,358653,2015/6/2,23.9,425520,13.1,119,66867,1.96
03B124,2015/2/23,37.1,370213,2015/6/19,23.5,430539,13.6,116,60326,2.25
03B128,2015/2/5,37,331721,2015/6/3,24.1,389457,12.9,118,57736,2.23
03B99,2015/1/30,37,566297,2015/6/5,22.6,635136,14.4,126,68839,2.09
03B111,2015/1/26,37,457848,2015/6/6,23.8,509869,13.2,131,52021,2.54
03B95,2015/1/27,36.9,641914,2015/6/6,23.9,706457,13,130,64543,2.01
03B082,2015/2/13,37,914049,2015/6/13,23.4,971494,13.6,120,57445,2.37
03B120,2015/3/18,37,434843,2015/6/12,23.5,483991,13.5,86,49148,2.75
03B114,2015/3/26,37,531164,2015/6/14,23.9,579795,13.1,80,48631,2.69
03B140,2015/3/28,37,474610,2015/6/16,23.8,523830,13.2,80,49220,2.68
03B133,2015/3/26,37,433336,2015/6/21,22.8,484445,14.2,87,51109,2.78
03B130,2015/4/6,37.3,470083,2015/6/28,23.8,516276,13.5,83,46193,2.92
03B136,2015/3/28,36.8,482698,2015/7/3,22.1,533515,14.7,97,50817,2.89
03B135,2015/3/2,37,469881,2015/7/3,22,533515,15,123,63634,2.36
03B139,2015/3/28,37,474610,2015/6/16,23.8,523830,13.2,80,49220,2.68
03B104,2015/4/6,37.4,635341,2015/7/9,23,685853,14.4,94,50512,2.85
03B107,2015/3/19,36.9,523898,2015/7/10,23.9,578543,13,113,54645,2.38
B108,2015/3/30,37.1,530698,2015/7/20,23.9,584975,13.2,112,54277,2.43
03B117,2015/2/25,36.9,459346,2015/7/14,23.5,531379,13.4,139,72033,1.86
03B132,2015/4/3,37.1,480620,2015/7/16,23.2,542142,13.9,104,61522,2.26
03B134,2015/3/26,36.8,433336,2015/7/18,23.4,501649,13.4,114,68313,1.96
03B141,2015/4/23,36.9,544373,2015/7/23,23.2,602422,13.7,91,58049,2.36
03B142,2015/5/11,37.2,555845,2015/7/23,22.4,602422,14.8,73,46577,3.18
03B137,2015/4/11,36.9,451286,2015/7/13,23.8,507791,13.1,93,56505,2.32
03B094,2015/5/12,27.7,718034,2015/7/8,23.8,743896,3.9,57,25862,1.51
03B138,2015/5/10,37,468525,2015/7/30,23.8,519384,13.2,81,50859,2.6
03B126,2015/3/21,36.8,421444,2015/8/2,23.9,491735,12.9,134,70291,1.84
03B119,2015/5/4,36.8,460808,2015/8/4,23.9,512898,12.9,92,52090,2.48
03B087,2015/3/13,36.8,525931,2015/8/4,23.7,588338,13.1,144,62407,2.1
03B110,2015/4/22,37,522716,2015/8/5,23.9,576703,13.1,105,53987,2.43
03B109,2015/4/10,37,517424,2015/8/5,22.5,576703,14.5,117,59279,2.45
03B090,2015/4/19,37,785426,2015/8/6,25,841858,12,109,56432,2.13
03B103,2015/5/5,37.3,649487,2015/8/10,23.9,706369,13.4,97,56882,2.36
03B118,2015/1/6,37,433395,2015/8/10,23.5,548194,13.5,216,114799,1.18
03B081,2015/5/1,36.9,951564,2015/8/23,23.8,1006726,13.1,114,55162,2.37
03B112,2015/5/20,37,502357,2015/8/11,25.1,549086,11.9,83,46729,2.55
03B131,2015/5/23,37,510056,2015/8/20,23.6,561445,13.4,89,51389,2.61
03A115,2015/5/31,34,521530,2015/8/20,23.4,570199,10.6,81,48669,2.18
03B096,2015/5/23,35.2,696284,2015/8/21,23.7,751201,11.5,90,54917,2.09
03B105,2015/5/28,37.1,607493,2015/8/22,23.4,656179,13.7,86,48686,2.81
